umap_x,umap_y,umap_z,department,culture,medium,object_name,object_begin_date
-6.615513,8.547416,-13.259726,Greek and Roman Art,"Greek, Attic",Terracotta,Kylix fragment,-500
7.336975,-1.0948249,5.6357436,Egyptian Art,Unknown,Probably elephant ivory and organic material,"Statuette, Tusk",-3800
-5.443951,0.13375668,-4.9954596,Costume Institute,French,silk,Dress,1983
2.7923465,-0.45280665,1.1347072,Drawings and Prints,Unknown,Engraving,Print,1540
1.2698812,11.528743,-2.9954515,Greek and Roman Art,Roman,Terracotta,Lamp,100
5.228603,5.0520525,-3.8867486,Musical Instruments,German,"Ebony, gliding, brass, silver gilt, gilt brass, iron, various wood and metals, wire, parchment and leather",Musical Clock with Spinet and Organ,1620
0.5552694,-7.019564,-5.3865423,European Sculpture and Decorative Arts,Uruguayan,"Silver, struck",Medal,1936
-3.6925,-2.1933012,1.1408134,Photographs,Unknown,Gelatin silver print,Photograph,1968
-6.61579,8.547761,-13.2589,Greek and Roman Art,"Greek, Attic",Terracotta,Kylix fragment,-500
-5.9284277,-8.368659,-6.838694,European Sculpture and Decorative Arts,French,"Wood, carved and painted",Panels,1700
-2.736642,-8.982398,-2.0237663,Drawings and Prints,Unknown,Hand-colored etching,Print,1808
-4.524217,-1.8366046,-1.2030022,Modern and Contemporary Art,Unknown,Silver-plated copper and Plexiglas,Container,1979
-2.984851,10.559712,2.33727,Costume Institute,Italian,leather,Shoes,1958
-11.865374,-0.2987311,-4.446599,Egyptian Art,Unknown,Linen,"Linen,",-1981
-6.0630584,-7.401662,10.96695,Modern and Contemporary Art,Unknown,Silk,Textile sample,1900
5.9652834,3.7048838,-14.350631,Greek and Roman Art,"Greek, Attic",Terracotta,Kylikes fragments,-600
3.6623878,9.532186,-2.89124,European Sculpture and Decorative Arts,French,Dark brown or black wax,Wax impression,1661
5.9711804,3.69941,-14.34433,Greek and Roman Art,"Greek, Attic",Terracotta,Krater fragment?,-600
0.081469744,-4.7152667,-14.622834,Greek and Roman Art,Unknown,Gold,Ring,-7000
-5.793724,3.3629794,-5.786472,Drawings and Prints,Unknown,Etching; third state of three (Préaud),Print collection ornament & architecture,1677
10.058896,0.5919564,-0.5405728,Drawings and Prints,Unknown,Lithograph,Print,1834
-0.33985385,4.4438386,2.038354,Costume Institute,probably American,[no medium available],Dress,1926
-4.508298,-1.8338386,-1.1930529,Modern and Contemporary Art,Unknown,Fiberglass cloth over light bulb,Lamp,1979
-0.088705756,-1.369835,5.903139,Arms and Armor,Visigothic,"Bronze, gilt",Buckle,375
-2.3379116,0.81066924,3.8199735,Asian Art,Thailand,Earthenware,Figure,1300
9.099669,13.79235,6.4834332,Greek and Roman Art,"Greek, Attic",Terracotta,Kylix fragment,-530
-6.6870923,2.8377929,3.9425447,Egyptian Art,Unknown,"Papyrus, ink","Papyrus, Harhotep, account",-1961
-3.4722378,-2.2622726,1.0773171,Drawings and Prints,Unknown,Hand colored lithograph,Print,1949
0.7715358,-3.3715324,4.4504933,Drawings and Prints,Unknown,Engraving (proof state),Print,1465
4.1374497,3.1218166,-1.7723423,Drawings and Prints,Unknown,Soft-ground etching and aquatint; fifth state of five,Print,1882
-1.019782,-6.8536744,3.0700626,Arms and Armor,Japanese,"Wood, copper, lacquer",Helmet crest (maidate),1590
0.5309174,-7.063929,-5.335051,The American Wing,"Diné/Navajo, Native American",Dyed and undyed wool,Blanket,1865
-2.2406693,0.9967645,3.7286294,Asian Art,Thailand,Bronze,Bust,1400
4.1339192,2.773912,3.4280622,European Sculpture and Decorative Arts,British,"Mahogany, covered in modern red morocco leather",Side chair,1767
-12.98126,5.5312696,-4.454635,Egyptian Art,Unknown,"Limestone, ink","Ostracon, hieratic",-2030
0.3591754,-4.0263534,-3.9892366,Arms and Armor,"Portuguese, Lisbon","Steel, gold, wood, horn",Miquelet sporting gun,1802
-3.1632066,-0.026506092,3.2347345,"Arts of Africa, Oceania, and the Americas",Peruvian,Ceramic,Spindle whorl,900
4.6214705,5.524539,-3.2802303,Islamic Art,Unknown,Wood; turned,Screen,1700
-1.0878457,-6.596392,3.2290673,Arms and Armor,Japanese,Iron,Pair of sleeves (Kotē),1590
5.4695773,-8.022925,2.2160854,Islamic Art,Unknown,"Gold, glass, turquoise",Ornament,1800
-0.069482826,-7.346954,-5.4839897,European Sculpture and Decorative Arts,"British, Staffordshire",Basalt,Intaglio,1700
-3.1463418,1.4657085,4.276382,Asian Art,India (Orissa),Ivory,"Furniture border
",1490
10.224771,2.8245187,-4.723081,Drawings and Prints,Unknown,Commercial color lithograph,Print,1888
0.12232978,-8.182157,-0.06000425,Egyptian Art,Unknown,Faience,"Amulet, Harpokrates (?)",-1295
-10.983339,14.027255,-1.7685807,Islamic Art,Unknown,Stucco; carved,Fragment,800
-1.1311758,-2.4368503,-1.2911522,Drawings and Prints,Unknown,Wood engraving,Print,1836
10.750372,-3.9050562,-0.27446583,Drawings and Prints,Unknown,Hand-colored etching,Print,1807
0.735652,-4.838205,-9.569886,European Sculpture and Decorative Arts,Spanish,Silk and metal thread,Piece,1775
3.7470474,-0.002167017,-9.954283,Drawings and Prints,Unknown,Engraving,Print,1514
-8.884346,-4.2159257,0.8925163,Egyptian Art,Unknown,Steatite,"Scarab, Golden Horus name,Thutmose I, rnp palm branch, nbw gold, falcon, nfr",-1504
-3.8815622,7.9892626,6.099052,Drawings and Prints,Unknown,Engraving and etching; third state of seven (New Hollstein),Print,1555
-2.845179,1.1273011,3.9214003,"Arts of Africa, Oceania, and the Americas",Inca,Bronze (cast),Knife,1400
-3.0100148,10.58437,2.3126853,Costume Institute,Italian,"a,b) wool",Suit,1970
-6.482825,6.323923,-3.9240608,Costume Institute,American,"a,b) aluminum",Earrings,1993
6.9907784,-3.2606938,6.6160254,European Sculpture and Decorative Arts,"German, Meissen","Hard-paste porcelain decorated in polychrome enamels, gold; silver spout",Table fountain,1722
-0.53375995,-15.625561,-2.7132347,Drawings and Prints,Unknown,Albumen photograph,"Baseball card, photograph",1889
13.422968,-4.1052136,6.477966,Drawings and Prints,Unknown,Etching; second state of two (Lieure),Print,1636
2.70517,3.3974144,-7.326564,European Sculpture and Decorative Arts,French,Gilt bronze,Mount ,1900
0.5265273,-4.8348446,1.655107,Photographs,Unknown,Albumen silver print from glass negative,Photograph,1860
-1.0493728,-6.869707,3.0315266,Arms and Armor,Japanese,Wood,Helmet crest (maidate),1590
5.1381817,-0.20509945,-4.1439905,Asian Art,China,Porcelain with colored glazes,Figure,1667
-2.4963245,0.51544195,-7.2592306,Ancient Near Eastern Art,Iran,"Glass, Egyptian Blue",Goblet,-900
-6.0624733,-2.4492486,-7.299179,Medieval Art,Coptic,Pottery fragment with ink inscription,Ostrakon,600
-0.27366245,0.141328,-1.9336339,Drawings and Prints,Unknown,"Cut paper silhouette, pen and ink, brush and brown wash, and white chalk",Cut paper; drawing,1825
-10.374814,-4.719919,-2.1600018,Drawings and Prints,Unknown,Etching,Print,1756
-3.647988,-8.788722,10.77947,Drawings and Prints,Unknown,Albumen photograph,Print,1880
-7.4296336,-0.86271435,2.595779,Egyptian Art,Unknown,Faience,"Beads, string",-1981
0.19246091,-7.1666102,-5.286873,European Sculpture and Decorative Arts,"German, Augsburg","Silver gilt, enamel",Canister,1645
6.8319716,6.856428,-0.16105568,Costume Institute,American,"steel, cotton",Bustle,1882
0.52953994,9.344971,11.984283,Drawings and Prints,Unknown,Illustrations: engraving,Book,1807
0.86082065,7.3472896,-3.2762842,Costume Institute,American,"(a) wool, silk; (b) wool",Morning suit,1955
